producers,directors
"['0151066', '0003132', '1212034']",['0158409']
"['0516636', '1266364', '2256457', '0752324', '1127895']",['1127570']
[],"['1118475', '0462046', '0613503', '0620450', '0643154']"
"['2205055', '2209426']",['2204116']
"['2050171', '1216321', '0000165', '0456946', '0705511', '0007081', '0875408', '0924270']",['0639965']
"['1088985', '0263682', '1487668', '9334799', '1520634']",['1677167']
[],"['1487584', '1487668']"
"['1180192', '0281847']",['0736286']
['0147858'],['0147858']
"['0180664', '2164150', '0910419']",['1600940']
"['1900618', '0688657', '0787662', '2331829']","['1900612', '0474430']"
"['0041268', '0562531', '0819999', '0840942', '0888614']","['1509886', '0459571', '0688653', '0692770']"
"['0248180', '1274456', '0331342', '0366924', '1882183', '0412246', '1177626', '1360100', '2186923', '0566831', '1303812', '1362292', '1746197', '1741685']","['0097529', '1741096', '0664896']"
['0180664'],['1388924']
"['0473544', '1323581', '1019091', '0948971']",['0866707']
"['9611260', '2906903', '2243434', '0945727', '3069337']","['2268014', '0476417']"
"['0436606', '4747647', '0645447', '9024298', '3445653', '0974574', '1302888', '2770587']",['0879812']
"['2038209', '0180664', '0228147', '1545935', '1098194']",['2034950']
"['2059406', '11733463', '2051145']",['0408077']
"['0250755', '2097733', '2158832', '0434393', '3528900', '2209559', '1019091', '4690403', '1989445', '0948971', '0644956']","['1915499', '0766218']"
"['5577751', '0997125', '1046177', '4922676', '4922039', '2209559', '4921992', '11516149', '0948971']",['1145578']
"['0026565', '0692312']","['0005124', '0710020']"
"['0123135', '0248180', '0969066', '0320670', '1536249', '0436901', '1459247', '0547880', '0969889', '1417039', '1417340']",['1466691']
[],[]
"['1650390', '0783652']",['0538770']
"['1000858', '2003296', '0577560', '0917188']",['0757858']
"['0022954', '1313786', '0165394', '2223210', '2227967', '0557897', '1293883', '2841518', '2228508']","['0280745', '0597026']"
"['1776602', '0214036', '0004927', '0325755', '0005124', '0510674', '0613183', '2975083', '2050997', '0799393', '0833828', '0899139']",['0931727']
"['0411070', '2009465', '1084385', '0913857', '1886441']",['0651900']
[],"['0708060', '0856524']"
[],['0945506']
"['2267587', '1646350', '2658999']",['1046242']
"['0346069', '1129501']",['0346069']
"['0289654', '0323961', '0348077', '2228442', '1984347', '2255627', '0705381', '0848710', '1364790']",['0630770']
"['1627156', '2318096', '2319883', '1349604', '2331804', '0758353', '1160634', '2315467']","['2319883', '1349604']"
"['0036366', '0181941', '0185084', '0198632', '0473590']","['0426333', '0456732']"
"['1374562', '2286207', '0596766', '1848235', '0893587']","['0078887', '0306335', '0893587']"
['2077396'],['2077396']
"['1374562', '2286207', '1640692', '1848235', '2282504', '0893587']",['0893587']
['1039584'],['1039584']
['1907937'],['0386302']
"['0036684', '1079521', '1037838', '0405433', '0421639', '0739689']",['0605186']
['3042580'],"['1155551', '1026538']"
['2310368'],['2310368']
"['1479759', '1709401', '1803281', '0532696', '2670683', '0643647', '0703697', '0744384', '2496223', '0815082', '1218178']","['0643664', '2670683']"
"['1848139', '1841217', '1315988']","['1314221', '0702505']"
"['0000123', '0963211', '0272429', '0289048', '1209024', '0657921', '0806189', '0808819', '0001752', '0831098', '0908323', '0922279']",['0000500']
"['1165365', '1335650']",['0253727']
"['2747201', '1325732', '0579852', '2752674', '2750483']",['1020310']
"['1459247', '0779970']","['1592494', '0820689', '0165394']"
"['0164063', '0808439', '0710759', '1575622', '0000229', '0823330', '0865014', '0000709']",['1481493']
"['0204862', '0408254', '0542454']","['0384722', '9779507']"
